ID_ESTUDIO,CVE_ACUIF,ACUIFERO,NOM_ACUIF,CVE_EDO,NOM_EDO,ESTADO
1,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
1,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
1,103,0103 EL LLANO,EL LLANO,1,AGUASCALIENTES,01 AGUASCALIENTES
1,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
1,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
2,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
2,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
2,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
2,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
5,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
5,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
5,103,0103 EL LLANO,EL LLANO,1,AGUASCALIENTES,01 AGUASCALIENTES
5,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
5,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
7,2801,2801 BAJO RÍO BRAVO,BAJO RÍO BRAVO,28,TAMAULIPAS,28 TAMAULIPAS
7,2802,2802 MÉNDEZ-SAN FERNANDO,MÉNDEZ-SAN FERNANDO,28,TAMAULIPAS,28 TAMAULIPAS
7,2803,2803 HIDALGO-VILLAGRÁN,HIDALGO-VILLAGRÁN,28,TAMAULIPAS,28 TAMAULIPAS
7,2804,2804 SAN CARLOS,SAN CARLOS,28,TAMAULIPAS,28 TAMAULIPAS
7,2805,2805 JIMÉNEZ-ABASOLO,JIMÉNEZ-ABASOLO,28,TAMAULIPAS,28 TAMAULIPAS
7,2806,2806 MÁRGENES DEL RÍO PURIFICACIÓN,MÁRGENES DEL RÍO PURIFICACIÓN,28,TAMAULIPAS,28 TAMAULIPAS
7,2807,2807 VICTORIA-GÜEMEZ,VICTORIA-GÜEMEZ,28,TAMAULIPAS,28 TAMAULIPAS
7,2808,2808 VICTORIA-CASAS,VICTORIA-CASAS,28,TAMAULIPAS,28 TAMAULIPAS
7,2809,2809 ALDAMA-SOTO LA MARINA,ALDAMA-SOTO LA MARINA,28,TAMAULIPAS,28 TAMAULIPAS
7,2810,2810 PALMILLAS-JAUMAVE,PALMILLAS-JAUMAVE,28,TAMAULIPAS,28 TAMAULIPAS
7,2811,2811 LLERA-XICOTÉNCATL,LLERA-XICOTÉNCATL,28,TAMAULIPAS,28 TAMAULIPAS
7,2812,2812 OCAMPO-ANTIGUO MORELOS,OCAMPO-ANTIGUO MORELOS,28,TAMAULIPAS,28 TAMAULIPAS
7,2813,2813 ZONA SUR,ZONA SUR,28,TAMAULIPAS,28 TAMAULIPAS
7,2814,2814 TULA-BUSTAMANTE,TULA-BUSTAMANTE,28,TAMAULIPAS,28 TAMAULIPAS
8,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
8,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
8,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
9,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
9,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
9,103,0103 EL LLANO,EL LLANO,1,AGUASCALIENTES,01 AGUASCALIENTES
9,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
9,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
10,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
11,2804,2804 SAN CARLOS,SAN CARLOS,28,TAMAULIPAS,28 TAMAULIPAS
12,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
13,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
13,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
13,103,0103 EL LLANO,EL LLANO,1,AGUASCALIENTES,01 AGUASCALIENTES
13,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
13,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
14,3212,3212 OJOCALIENTE,OJOCALIENTE,32,ZACATECAS,32 ZACATECAS
15,101,0101 VALLE DE AGUASCALIENTES,VALLE DE AGUASCALIENTES,1,AGUASCALIENTES,01 AGUASCALIENTES
15,102,0102 VALLE DE CHICALOTE,VALLE DE CHICALOTE,1,AGUASCALIENTES,01 AGUASCALIENTES
15,103,0103 EL LLANO,EL LLANO,1,AGUASCALIENTES,01 AGUASCALIENTES
15,104,0104 VENADERO,VENADERO,1,AGUASCALIENTES,01 AGUASCALIENTES
15,105,0105 VALLE DE CALVILLO,VALLE DE CALVILLO,1,AGUASCALIENTES,01 AGUASCALIENTES
19,2808,2808 VICTORIA-CASAS,VICTORIA-CASAS,28,TAMAULIPAS,28 TAMAULIPAS
150,2509,2509 RÍO PRESIDIO,RÍO PRESIDIO,25,SINALOA,25 SINALOA
150,2510,2510 RÍO BALUARTE,RÍO BALUARTE,25,SINALOA,25 SINALOA
150,2511,2511 VALLE DE ESCUINAPA,VALLE DE ESCUINAPA,25,SINALOA,25 SINALOA
150,2512,2512 LAGUNA AGUA GRANDE,LAGUNA AGUA GRANDE,25,SINALOA,25 SINALOA
171,3105,3105 PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,4,CAMPECHE,04 CAMPECHE
172,3105,3105 PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,4,CAMPECHE,04 CAMPECHE
173,3105,3105 PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,4,CAMPECHE,04 CAMPECHE
174,3105,3105 PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,4,CAMPECHE,04 CAMPECHE
177,3105,3105 PENÍNSULA DE YUCATÁN,PENÍNSULA DE YUCATÁN,4,CAMPECHE,04 CAMPECHE
8443,830,0830 CHIHUAHUA-SACRAMENTO,CHIHUAHUA-SACRAMENTO,8,CHIHUAHUA,08 CHIHUAHUA
8443,832,0832 JIMÉNEZ-CAMARGO,JIMÉNEZ-CAMARGO,8,CHIHUAHUA,08 CHIHUAHUA
